Season,Site,Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],% Counts (A),% Counts (B),% Counts (C),% Counts (D),High Voltage,HV Duty Cycle,Air Temperature [Celsius],Relative Humidity [%],Leakage Current,Battery Voltage,Pump Current [mA],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Calculated Radon 2-Sigma Uncert. [Dpm/L],Calculated Thoron [Dpm/L],Calculated Thoron 2-Sigma Uncert. [Dpm/L],Radon In Water [Dpm/L],Thoron In Water [Dpm/L],Water Temperature [Celsius],Meaningful Thoron Threshold (Air) [Dpm/L],Meaningful Thoron Threshold (Water) [Dpm/L],Total Counts (A),Total Counts (B),Total Counts (C),Total Counts (D),Total Counts (Other),Avg. CPM (A),Avg. CPM (B),Avg. CPM (C),Avg. CPM (D),Avg. CPM (Other)
Dry,Cabral,107,8/9/2021 14:20,21,8,9,14,20,124,4.6,39.5,0.8,55.7,0,2218,8,32.3,6,2,6.27,50,134,43.24325,14.24568,255,3,88,1.41,Sniff,101,33,0,17,14.8,0,35,5.97,8.69,49,1,69,0,5,10.6,0.216,15,0,1.08
Dry,Cabral,108,8/9/2021 14:25,21,8,9,14,25,133,4.6,41.4,0,54.1,0,2201,9,32.3,6,2,6.27,50,134,48.53833,14.97331,255,3,89,1.31,Sniff,114,35,0,17,16.6,0,35,5.8,8.45,55,0,72,0,6,12,0,15.6,0,1.3
Dry,Cabral,109,8/9/2021 14:30,21,8,9,14,30,119,4.6,48.8,0.9,49.6,0.9,2218,9,32.3,6,2,6.27,50,134,51.18588,15.32249,255,3,90,1.02,Sniff,119,36,1,17,17.3,2,35,5.52,8.04,58,1,59,1,0,12.6,0.233,12.8,0.233,0
Dry,Cabral,110,8/9/2021 14:35,21,8,9,14,35,129,4.6,46.5,1.6,47.3,0,2218,9,32.3,6,2,6.27,50,134,52.95092,15.55036,255,3,91,1.02,Sniff,124,36,10,20,18.1,8,35,5.61,8.17,60,2,61,0,6,13,0.449,13.3,0,1.29
Dry,Cabral,111,8/9/2021 14:40,21,8,9,14,40,101,4.6,38.6,0,56.4,0,2218,9,32.6,6,2,6.27,50,134,34.41809,12.92806,255,3,92,1.46,Sniff,80,30,0,17,11.8,0,35,5.16,7.52,39,0,57,0,5,8.48,0,12.4,0,1.1
Dry,Cabral,112,8/9/2021 14:45,21,8,9,14,45,123,4.6,50.4,1.6,47.2,0.8,2218,9,32.9,6,2,6.27,50,134,54.71594,15.77452,255,3,93,0.937,Sniff,128,37,10,20,18.6,7,35,5.49,8,62,2,58,1,0,13.5,0.428,12.6,0.214,0
Dry,Cabral,113,8/9/2021 14:50,21,8,9,14,50,96,4.6,35.4,2.1,57.3,1.1,2218,9,32.6,6,2,6.24,50,134,30.00552,12.20709,255,3,94,1.62,Sniff,69,29,10,20,10.1,8,35,5.34,7.78,34,2,55,1,4,7.39,0.438,12,0.23,0.856
Dry,Cabral,114,8/9/2021 14:55,21,8,9,14,55,121,4.6,38.9,2.5,54.6,0.8,2218,9,32.6,6,2,6.27,50,134,41.47822,13.99352,255,3,95,1.4,Sniff,96,33,9,23,14,13,35,5.85,8.52,47,3,66,1,4,10.2,0.658,14.4,0.21,0.842
Dry,Cabral,115,8/9/2021 15:00,21,8,9,15,0,114,4.6,31.6,1.8,66.7,0,2218,9,32,6,2,6.27,50,134,31.77055,12.50129,255,3,96,2.11,Sniff,74,29,0,20,10.8,6,35,6.25,9.11,36,2,76,0,0,7.83,0.446,16.5,0,0
Dry,Cabral,116,8/9/2021 15:05,21,8,9,15,5,104,4.6,51,1,47.1,0,2218,8,32,6,2,6.27,50,134,46.7733,14.7353,255,3,97,0.924,Sniff,110,35,2,17,16,2,35,5.02,7.31,53,1,49,0,1,11.5,0.226,10.6,0,0.203
Dry,Cabral,117,8/9/2021 15:10,21,8,9,15,10,130,4.6,30,0,63.9,0.8,2218,9,32,6,2,6.27,50,134,34.41809,12.92806,255,3,98,2.13,Sniff,80,30,0,17,11.6,0,35,6.22,9.07,39,0,83,1,7,8.48,0,18.1,0.226,1.5
Dry,Cabral,118,8/9/2021 15:15,21,8,9,15,15,120,4.6,45,0.8,48.3,0,2218,9,32.3,6,2,6.27,50,134,47.65582,14.85485,255,3,99,1.07,Sniff,112,35,1,17,16.3,1,35,5.47,7.97,54,1,58,0,7,11.7,0.209,12.6,0,1.54
Dry,Cabral,119,8/9/2021 15:20,21,8,9,15,20,109,4.6,52.3,1.8,42.2,0,2218,9,32.6,6,2,6.27,50,134,50.30336,15.2071,255,4,1,0.807,Sniff,118,36,10,20,17.2,8,35,4.88,7.11,57,2,46,0,4,12.4,0.427,10,0,0.877
Dry,Cabral,120,8/9/2021 15:25,21,8,9,15,25,117,4.6,47.9,0,51.3,0,2218,9,32.6,6,2,6.27,50,134,49.42085,15.09072,255,4,2,1.07,Sniff,116,35,0,17,16.9,0,35,5.29,7.71,56,0,60,0,1,12.2,0,13,0,0.203
Dry,Cabral,121,8/9/2021 15:30,21,8,9,15,30,113,4.6,42.5,1.8,52.2,0,2218,8,32.6,6,2,6.27,50,134,42.36072,14.12024,255,4,3,1.23,Sniff,100,33,10,20,14.5,8,35,5.53,8.06,48,2,59,0,4,10.4,0.442,12.8,0,0.86
Dry,Cabral,122,8/9/2021 15:35,21,8,9,15,35,119,4.6,45.4,0.9,47.9,0.9,2218,9,32.6,6,2,6.27,50,134,46.7733,14.85485,255,4,4,1.06,Sniff,111,35,1,17,16.1,2,35,5.43,7.92,54,1,57,1,6,11.7,0.233,12.4,0.233,1.27
Dry,Cabral,123,8/9/2021 15:40,21,8,9,15,40,133,4.6,45.1,0,51.9,0,2218,9,32.6,6,2,6.27,50,134,52.95092,15.55036,255,4,5,1.15,Sniff,124,37,0,17,18.1,0,35,5.68,8.27,60,0,69,0,4,13,0,15,0,0.867
Dry,Cabral,124,8/9/2021 15:45,21,8,9,15,45,119,4.6,49.6,0.9,48.8,0,2218,9,33.5,6,2,6.24,50,134,52.06839,15.4369,255,4,6,0.984,Sniff,123,37,1,17,17.9,2,35,5.51,8.03,59,1,58,0,1,12.8,0.233,12.6,0,0.181
Dry,Cabral,125,8/9/2021 15:50,21,8,9,15,50,113,4.6,52.2,2.7,42.5,0,2218,9,33.9,6,2,6.27,50,134,52.06839,15.4369,255,4,7,0.814,Sniff,123,37,10,23,18,15,35,5.03,7.33,59,3,48,0,3,12.8,0.663,10.4,0,0.639
Dry,Cabral,126,8/9/2021 15:55,21,8,9,15,55,98,4.6,54.1,0,42.9,0,2218,9,32.9,6,2,6.27,50,134,46.7733,14.7353,255,4,8,0.793,Sniff,110,35,0,17,16.1,0,35,4.43,6.45,53,0,42,0,3,11.5,0,9.14,0,0.639
Dry,Cabral,127,8/9/2021 16:00,21,8,9,16,0,148,4.6,55.4,0.7,40.6,0,2201,9,32,6,2,6.27,50,134,72.36625,17.84522,255,4,9,0.733,Sniff,169,42,1,17,24.7,1,35,5.55,8.09,82,1,60,0,5,17.8,0.225,13.1,0,1.06
Dry,Cabral,128,8/9/2021 16:05,21,8,9,16,5,148,4.6,48,1.4,46.6,0,2218,9,31.1,6,2,6.24,50,134,62.65857,16.74181,255,4,10,0.971,Sniff,146,39,0,20,21.3,7,35,5.93,8.64,71,2,69,0,6,15.4,0.45,15,0,1.29
Dry,Cabral,129,8/9/2021 16:10,21,8,9,16,10,142,4.6,52.8,0,42.3,0,2218,9,29.9,6,2,6.24,50,134,66.18863,17.15221,255,4,11,0.801,Sniff,150,40,0,16,22.4,0,35,5.29,7.71,75,0,60,0,7,16.3,0,13.1,0,1.51
Dry,Cabral,130,8/9/2021 16:15,21,8,9,16,15,190,4.6,51.1,0,43.2,0.5,2218,8,29.3,6,2,6.24,50,134,85.60397,19.23794,255,4,12,0.845,Sniff,197,45,0,16,28.7,0,35,6.19,9.02,97,0,82,1,10,21.1,0,17.8,0.207,2.15
Dry,Cabral,131,8/9/2021 16:20,21,8,9,16,20,163,4.6,66.9,2.5,29.5,0,2218,9,28.7,6,2,6.24,50,134,96.19414,20.27683,255,4,13,0.441,Sniff,222,47,14,25,32.3,20,35,4.9,7.13,109,4,48,0,2,23.7,0.886,10.5,0,0.39
Dry,Cabral,132,8/9/2021 16:25,21,8,9,16,25,160,4.6,58.8,0.6,32.5,1.9,2236,9,28.1,6,2,6.24,50,134,82.07391,19.05872,255,4,14,0.553,Sniff,188,44,1,16,27.3,2,35,5.08,7.4,94,1,52,3,10,20.5,0.209,11.3,0.661,2.16
Dry,Cabral,133,8/9/2021 16:30,21,8,9,16,30,155,4.6,58.1,0,38.1,0,2218,9,27.8,6,2,6.24,50,134,79.42637,18.60234,255,4,15,0.656,Sniff,183,43,0,16,26.6,0,35,5.25,7.65,90,0,59,0,6,19.6,0,12.8,0,1.28
Dry,Cabral,134,8/9/2021 16:35,21,8,9,16,35,158,4.6,55.1,1.3,39.9,0,2218,9,27.5,6,2,6.24,50,134,76.77882,18.32248,255,4,16,0.724,Sniff,176,42,0,20,25.7,7,35,5.58,8.13,87,2,63,0,6,18.9,0.447,13.7,0,1.27
Dry,Cabral,135,8/9/2021 16:40,21,8,9,16,40,167,4.6,55.1,1.2,40.7,0,2218,9,27.1,6,2,6.24,50,134,81.1914,18.78636,255,4,17,0.739,Sniff,186,43,0,20,27.1,7,35,5.78,8.43,92,2,68,0,5,20,0.436,14.8,0,1.09
Dry,Cabral,136,8/9/2021 16:45,21,8,9,16,45,171,4.6,49.7,1.2,43.3,0.6,2218,8,27.1,6,2,6.27,50,134,75.01379,18.13325,255,4,18,0.871,Sniff,171,42,0,20,24.9,6,35,6.03,8.79,85,2,74,1,9,18.5,0.446,16.1,0.223,1.93
Dry,Cabral,137,8/9/2021 16:50,21,8,9,16,50,162,4.6,59.3,0.6,36.4,0,2218,9,26.8,6,2,6.24,50,134,84.72144,19.14856,255,4,19,0.614,Sniff,194,44,1,16,28.3,1,35,5.38,7.84,96,1,59,0,6,20.9,0.211,12.8,0,1.3
Dry,Cabral,138,8/9/2021 16:55,21,8,9,16,55,189,4.6,47.6,2.1,47.1,0,2218,9,26.8,6,2,6.24,50,134,79.42637,18.60234,255,4,20,0.989,Sniff,181,43,11,24,26.4,16,35,6.61,9.63,90,4,89,0,6,19.6,0.863,19.4,0,1.31
Dry,Cabral,139,8/9/2021 17:00,21,8,9,17,0,178,4.6,55.6,1.7,40.5,0,2218,9,26.5,6,2,6.24,50,134,87.36899,19.41533,255,4,21,0.728,Sniff,199,44,8,22,29.1,12,35,5.93,8.65,99,3,72,0,4,21.5,0.658,15.7,0,0.851
Dry,Cabral,140,8/9/2021 17:06,21,8,9,17,6,183,4.6,47,1.1,48.6,0.6,2218,9,26.5,6,2,6.21,50,134,75.8963,18.22813,255,4,22,1.03,Sniff,172,42,0,20,25.1,5,35,6.6,9.62,86,2,89,1,5,18.7,0.438,19.3,0.239,1.07
Dry,Cabral,141,8/9/2021 17:11,21,8,9,17,11,195,4.6,50.8,1,47.7,0,2218,8,26.2,6,2,6.21,50,134,87.36899,19.41533,255,4,23,0.939,Sniff,199,44,0,20,29.1,4,35,6.74,9.82,99,2,93,0,1,21.5,0.424,20.2,0,0.212
Dry,Cabral,142,8/9/2021 17:16,21,8,9,17,16,192,4.6,55.2,2.1,40.1,0.5,2201,9,26.2,6,2,6.24,50,134,93.5466,20.02265,255,4,24,0.726,Sniff,212,46,12,24,30.9,18,35,6.13,8.93,106,4,77,1,4,23,0.877,16.7,0.209,0.877
Dry,Cabral,143,8/9/2021 17:21,21,8,9,17,21,206,4.6,44.7,0.5,52,0,2218,9,26.2,6,2,6.21,50,134,81.63267,18.88847,255,4,25,1.16,Sniff,185,43,0,16,27,0,35,7.07,10.3,92,1,107,0,6,20,0.224,23.3,0,1.25
Dry,Cabral,144,8/9/2021 17:26,21,8,9,17,26,208,4.6,49.5,1.5,44.7,0.5,2218,9,25.9,6,2,6.21,50,134,91.39308,19.8723,255,4,26,0.903,Sniff,206,45,8,22,30,11,35,6.73,9.8,103,3,93,1,8,22.4,0.678,20.2,0.226,1.72
Dry,Cabral,145,8/9/2021 17:31,21,8,9,17,31,187,4.6,54.6,3.2,39.6,0,2218,9,25.6,6,2,6.21,50,134,90.01653,19.67813,255,4,27,0.725,Sniff,205,45,20,28,29.8,29,35,5.99,8.73,102,6,74,0,5,22.2,1.3,16.1,0,1.06
Dry,Cabral,146,8/9/2021 17:35,21,8,9,17,35,166,3.8,51.2,0.6,45.8,0,2218,9,25.9,6,2,6.21,50,134,90.11398,21.78345,255,4,28,0.895,Sniff,210,50,0,20,30.1,0,35,7.21,10.5,85,1,76,0,4,22.4,0.262,20,0,1.05
Wet,Cabral,407,3/28/2022 16:57,22,3,28,16,57,98,4.5,88.8,2.1,4.1,0,2218,9,32,7,2,6.3,50,134,77.61793,18.52273,255,16,4,0.0462,Sniff,173.8,,,,28.6,,29.8,,,,,,,,,,,,
Wet,Cabral,408,3/28/2022 17:02,22,3,28,17,2,102,4.5,88.2,2,4.9,1,2218,8,32.3,7,2,6.3,50,134,80.29443,18.80565,255,16,5,0.0556,Sniff,178.2,,,,29.48,,29.8,,,,,,,,,,,,
Wet,Cabral,409,3/28/2022 17:07,22,3,28,17,7,109,4.5,82.6,0,7.4,0,2218,8,32.3,7,2,6.3,50,134,80.29443,18.80565,255,16,6,0.0896,Sniff,180.4,,,,29.7,,29.8,,,,,,,,,,,,
Wet,Cabral,410,3/28/2022 17:12,22,3,28,17,12,135,4.5,80.8,2.2,11.9,0,2218,9,32.3,7,2,6.3,50,134,97.77978,20.61106,255,16,7,0.147,Sniff,217.8,,,,35.86,,29.8,,,,,,,,,,,,
Wet,Cabral,411,3/28/2022 17:17,22,3,28,17,17,128,4.5,82,0.8,16.4,0,2201,9,32.3,6,2,6.27,50,134,94.19153,20.26577,255,16,8,0.2,Sniff,220,,,,34.76,,29.6,,,,,,,,,,,,
Wet,Cabral,412,3/28/2022 17:22,22,3,28,17,22,139,4.5,67.6,0.7,28.1,0,2218,9,32.3,6,2,6.3,50,134,84.78974,19.38761,255,16,9,0.416,Sniff,187,,,,31.02,,29.7,,,,,,,,,,,,
Wet,Cabral,413,3/28/2022 17:27,22,3,28,17,27,134,4.5,77.6,0.8,17.9,0,2218,8,32.3,6,2,6.3,50,134,93.29446,20.17843,255,16,10,0.231,Sniff,198,,,,34.32,,29.7,,,,,,,,,,,,
Wet,Cabral,414,3/28/2022 17:32,22,3,28,17,32,151,4.5,76.2,2.7,15.2,0.7,2201,9,32.3,6,2,6.3,50,134,102.8301,21.2341,255,16,11,0.199,Sniff,228.8,,,,37.84,,29.7,,,,,,,,,,,,
Wet,Cabral,415,3/28/2022 17:37,22,3,28,17,37,160,4.5,65.6,1.3,28.8,0,2218,8,32.3,6,2,6.3,50,134,94.71191,20.37773,255,16,12,0.439,Sniff,220,,,,34.54,,29.7,,,,,,,,,,,,
Wet,Cabral,416,3/28/2022 17:42,22,3,28,17,42,169,4.5,61.6,0.6,34.9,0.6,2218,9,32.3,6,2,6.3,50,134,94.33106,20.40263,255,16,13,0.567,Sniff,198,,,,34.32,,29.6,,,,,,,,,,,,
Wet,Cabral,417,3/28/2022 17:47,22,3,28,17,47,187,4.5,66.3,1.6,28.4,0,2218,9,32.3,6,2,6.3,50,134,112.4717,22.09585,255,16,14,0.428,Sniff,246.4,,,,41.14,,29.5,,,,,,,,,,,,
Wet,Cabral,418,3/28/2022 17:52,22,3,28,17,52,184,4.5,65.8,0,31,0,2218,9,32.3,6,2,6.3,50,134,109.7506,21.85099,255,16,15,0.471,Sniff,242,,,,40.04,,29.6,,,,,,,,,,,,
Wet,Cabral,419,3/28/2022 17:57,22,3,28,17,57,204,4.4,57.4,1.5,39.2,0.5,2218,9,32,6,2,6.27,50,134,105.8032,21.64001,255,16,16,0.683,Sniff,237.6,,,,39.6,,29.5,,,,,,,,,,,,
Wet,Cabral,420,3/28/2022 18:02,22,3,28,18,2,207,4.4,58.5,0.5,38.7,0,2201,9,32,6,2,6.3,50,134,110.3637,21.97307,255,16,17,0.662,Sniff,246.4,,,,41.14,,29.4,,,,,,,,,,,,
Wet,Cabral,421,3/28/2022 18:07,22,3,28,18,7,203,4.4,57.2,0.5,38.4,0.5,2218,8,31.7,6,2,6.3,50,134,105.8032,21.55586,255,16,18,0.671,Sniff,235.4,,,,39.38,,29.4,,,,,,,,,,,,
Wet,Cabral,422,3/28/2022 18:12,22,3,28,18,12,227,4.4,56,0.9,40.5,0,2218,9,31.4,6,2,6.27,50,134,115.8363,22.46258,255,16,19,0.723,Sniff,259.6,,,,43.34,,29.4,,,,,,,,,,,,
Wet,Cabral,423,3/28/2022 18:17,22,3,28,18,17,219,4.4,56.2,0.5,38.4,0,2218,9,31.4,6,2,6.3,50,134,112.1879,22.13755,255,16,20,0.683,Sniff,250.8,,,,42.02,,29.3,,,,,,,,,,,,
Wet,Cabral,424,3/28/2022 18:22,22,3,28,18,22,210,4.4,52.4,0,43.3,0.5,2218,9,31.1,6,2,6.3,50,134,100.3307,21.04327,255,16,21,0.826,Sniff,224.4,,,,37.4,,29.3,,,,,,,,,,,,
Wet,Cabral,425,3/28/2022 18:27,22,3,28,18,27,232,4.4,54.3,0.4,42.3,0.4,2236,9,31.1,6,2,6.3,50,134,115.5698,22.50755,255,16,22,0.779,Sniff,255.2,,,,42.68,,29.3,,,,,,,,,,,,
Wet,Cabral,426,3/28/2022 18:32,22,3,28,18,32,224,4.4,50.5,1.8,43.3,1.4,2218,9,30.8,6,2,6.27,50,134,101.2427,21.38649,255,16,23,0.857,Sniff,226.6,,,,38.06,,29.2,,,,,,,,,,,,
Wet,Cabral,427,3/28/2022 18:37,22,3,28,18,37,219,4.4,53,0.9,43.8,0,2218,8,30.8,6,2,6.3,50,134,105.8032,21.55586,255,16,24,0.826,Sniff,237.6,,,,39.6,,29.3,,,,,,,,,,,,
Wet,Cabral,428,3/28/2022 18:42,22,3,28,18,42,210,4.4,46.7,1.9,48.1,0.5,2218,9,30.2,6,2,6.3,50,134,89.38549,19.97469,255,16,25,1.03,Sniff,198,,,,33.22,,29.2,,,,,,,,,,,,
Wet,Cabral,429,3/28/2022 18:47,22,3,28,18,47,239,4.4,53.2,1.7,43.9,0,2218,9,30.2,6,2,6.27,50,134,116.4871,22.58878,255,16,26,0.825,Sniff,259.6,,,,43.34,,29.3,,,,,,,,,,,,
Wet,Cabral,430,3/28/2022 18:53,22,3,28,18,53,217,4.4,50.7,0.5,44.7,0.9,2218,9,30.2,6,2,6.27,50,134,99.41855,21.12964,255,16,27,0.882,Sniff,222.2,,,,37.18,,29.3,,,,,,,,,,,,
Wet,Cabral,431,3/28/2022 18:58,22,3,28,18,58,230,4.4,48.3,0.4,48.3,0,2218,9,29.9,6,2,6.3,50,134,101.8115,21.24835,255,16,28,1,Sniff,226.6,,,,37.84,,29.3,,,,,,,,,,,,
Wet,Cabral,432,3/28/2022 19:03,22,3,28,19,3,221,4.4,45.7,1.4,49.8,0,2218,9,29.6,6,2,6.3,50,134,92.12177,20.24765,255,16,29,1.09,Sniff,206.8,,,,34.32,,29.4,,,,,,,,,,,,
Wet,Cabral,433,3/28/2022 19:08,22,3,28,19,8,237,4.4,47.7,1.3,47.3,0.9,2218,9,29.6,6,2,6.3,50,134,102.7287,21.42092,255,16,30,0.992,Sniff,228.8,,,,38.06,,29.3,,,,,,,,,,,,
Wet,Cabral,434,3/28/2022 19:13,22,3,28,19,13,212,4.4,46.2,1.4,50.5,0,2218,8,29.6,5,2,6.3,50,134,89.38549,19.97469,255,16,31,1.09,Sniff,198,,,,33.44,,29.3,,,,,,,,,,,,
Wet,Cabral,435,3/28/2022 19:18,22,3,28,19,18,219,4.4,44.3,1.4,51.6,0,2218,8,29.3,5,2,6.3,50,134,88.47338,19.88279,255,16,32,1.16,Sniff,198,,,,33,,29.4,,,,,,,,,,,,
Wet,Cabral,436,3/28/2022 19:23,22,3,28,19,23,202,4.4,43.6,1.5,51.5,1,2218,9,29.3,6,2,6.27,50,134,79.35242,19.13001,255,16,33,1.18,Sniff,178.2,,,,29.7,,29.3,,,,,,,,,,,,
Wet,Cabral,437,3/28/2022 19:28,22,3,28,19,28,225,4.4,43.1,0,53.3,0.5,2218,9,29.3,5,2,6.27,50,134,87.56128,19.88279,255,16,34,1.24,Sniff,198,,,,32.78,,29.3,,,,,,,,,,,,
Wet,Cabral,438,3/28/2022 19:33,22,3,28,19,33,213,4.4,43.2,2.4,51.7,0,2218,9,29.3,5,2,6.27,50,134,83.9129,19.41608,255,16,35,1.2,Sniff,198,,,,31.46,,29.2,,,,,,,,,,,,
Wet,Cabral,439,3/28/2022 19:38,22,3,28,19,38,200,4.4,45,1.5,49.5,1,2218,8,29,5,2,6.27,50,134,81.17662,19.32124,255,16,36,1.1,Sniff,176,,,,30.36,,29.3,,,,,,,,,,,,
Wet,Cabral,440,3/28/2022 19:43,22,3,28,19,43,198,4.4,37.9,0,59.6,0,2236,9,29,5,2,6.27,50,134,68.40725,17.72714,255,16,37,1.57,Sniff,154,,,,25.52,,29.4,,,,,,,,,,,,
Wet,Cabral,441,3/28/2022 19:48,22,3,28,19,48,197,4.5,40.6,2.6,50.8,0,2218,9,29,5,2,6.27,50,134,72.56235,18.14059,255,16,38,1.25,Sniff,160.6,,,,26.62,,29.3,,,,,,,,,,,,
Wet,Cabral,442,3/28/2022 19:53,22,3,28,19,53,226,4.4,40.7,1.3,55.8,0,2218,9,29,5,2,6.27,50,134,83.9129,19.41608,255,16,39,1.37,Sniff,198,,,,31.24,,29.3,,,,,,,,,,,,
Wet,Cabral,443,3/28/2022 19:58,22,3,28,19,58,213,4.4,42.7,1,52.1,0,2218,9,29,5,2,6.3,50,134,83.00081,19.32124,255,16,40,1.22,Sniff,176,,,,31.02,,29.3,,,,,,,,,,,,
Wet,Cabral,444,3/28/2022 20:03,22,3,28,20,3,203,4.4,33.5,0,60.6,0,2236,9,29,5,2,6.27,50,134,62.02258,16.97708,255,16,41,1.81,Sniff,138.6,,,,23.1,,29.3,,,,,,,,,,,,
Wet,Cabral,445,3/28/2022 20:08,22,3,28,20,8,176,4.5,40.4,0,54.6,1.7,2201,9,29,5,2,6.27,50,134,63.49207,17.31338,255,16,42,1.35,Sniff,138.6,,,,23.1,,29.3,,,,,,,,,,,,
Wet,Cabral,446,3/28/2022 20:13,22,3,28,20,13,190,4.5,43.2,1.1,53.2,0,2218,8,29,5,2,6.27,50,134,74.37642,18.34092,255,16,43,1.23,Sniff,162.8,,,,27.28,,29.3,,,,,,,,,,,,
Wet,Cabral,447,3/28/2022 20:18,22,3,28,20,18,168,4.5,37.5,0.6,56.6,0,2218,9,29,5,2,6.27,50,134,57.14285,16.32653,255,16,44,1.51,Sniff,125.4,,,,21.12,,29.3,,,,,,,,,,,,
Wet,Cabral,448,3/28/2022 20:23,22,3,28,20,23,149,4.5,36.3,0,59.7,0.7,2218,9,29,5,2,6.27,50,134,48.70899,15.18313,255,16,45,1.64,Sniff,107.8,,,,17.82,,29.3,,,,,,,,,,,,
Wet,Cabral,449,3/28/2022 20:28,22,3,28,20,28,173,4.5,42.2,0.6,53.8,0,2218,8,29,5,2,6.27,50,134,66.21315,17.41919,255,16,46,1.27,Sniff,145.2,,,,24.2,,29.4,,,,,,,,,,,,
Wet,Cabral,450,3/28/2022 20:33,22,3,28,20,33,163,4.5,38.7,1.2,57.1,0,2236,9,29,5,2,6.27,50,134,56.82715,16.23633,255,16,47,1.48,Sniff,125.4,,,,20.9,,29.3,,,,,,,,,,,,
Wet,Cabral,451,3/28/2022 20:38,22,3,28,20,38,157,4.5,42.7,0.6,52.9,0,2218,9,28.7,5,2,6.27,50,134,60.43523,16.68051,255,16,48,1.24,Sniff,134.2,,,,22.44,,29.3,,,,,,,,,,,,
Wet,Cabral,452,3/28/2022 20:43,22,3,28,20,43,150,4.5,38,1.3,58.7,0,2201,9,28.7,5,2,6.27,50,134,51.41505,15.54317,255,16,49,1.54,Sniff,114.4,,,,18.92,,29.4,,,,,,,,,,,,
Wet,Cabral,453,3/28/2022 20:48,22,3,28,20,48,160,4.5,38.1,0.6,58.1,0,2218,9,28.7,5,2,6.27,50,134,55.02312,16.00904,255,16,50,1.52,Sniff,121,,,,20.24,,29.4,,,,,,,,,,,,
Wet,Cabral,454,3/28/2022 20:53,22,3,28,20,53,152,4.5,36.9,2,56.6,2.6,2218,8,28.7,5,2,6.24,50,134,48.70899,15.54317,255,16,51,1.53,Sniff,107.8,,,,18.04,,29.4,,,,,,,,,,,,
Wet,Cabral,455,3/28/2022 20:58,22,3,28,20,58,158,4.5,34.2,2.5,58.9,0.6,2218,9,29,5,2,6.27,50,134,48.70899,15.18313,255,16,52,1.72,Sniff,107.8,,,,17.82,,29.2,,,,,,,,,,,,
Wet,Cabral,456,3/28/2022 21:03,22,3,28,21,3,114,4.5,29.8,3.5,64.9,0,2236,9,28.7,5,2,6.27,50,134,30.50012,12.40831,255,16,53,2.18,Sniff,68.2,,,,11.44,,29.3,,,,,,,,,,,,
Wet,Cabral,457,3/28/2022 21:08,22,3,28,21,8,148,4.5,24.3,2,68.3,1.4,2218,9,28.7,5,2,6.27,50,134,31.57064,12.77756,255,16,54,2.81,Sniff,70.4,,,,11.66,,29.1,,,,,,,,,,,,
Wet,Cabral,458,3/28/2022 21:13,22,3,28,21,13,123,4.5,24.4,1.6,71.6,0,2218,9,28.7,5,2,6.24,50,134,26.91187,11.78339,255,16,55,2.93,Sniff,59.4,,,,10.12,,29.1,,,,,,,,,,,,
Wet,Cabral,459,3/28/2022 21:18,22,3,28,21,18,117,4.5,32.5,0.9,61.6,1.7,2218,9,28.7,5,2,6.24,50,134,33.1913,12.99843,255,16,56,1.9,Sniff,72.6,,,,12.32,,28.9,,,,,,,,,,,,
Wet,Cabral,460,3/28/2022 21:23,22,3,28,21,23,137,4.5,33.6,0,62.8,0,2218,9,28.7,5,2,6.27,50,134,41.49285,14.17189,255,16,57,1.87,Sniff,92.4,,,,15.4,,29,,,,,,,,,,,,
Wet,Cabral,461,3/28/2022 21:28,22,3,28,21,28,118,4.5,38.1,0,58.5,0,2218,8,28.7,5,2,6.27,50,134,40.3678,13.96247,255,16,58,1.54,Sniff,90.2,,,,15.18,,29,,,,,,,,,,,,
Wet,Cabral,462,3/28/2022 21:33,22,3,28,21,33,108,4.5,32.4,2.8,61.1,0.9,2236,9,28.7,5,2,6.27,50,134,31.39718,12.55887,255,16,59,1.89,Sniff,68.2,,,,11.66,,29,,,,,,,,,,,,
Wet,Cabral,463,3/28/2022 21:38,22,3,28,21,38,111,4.5,25.2,0,72.1,0,2218,9,28.4,5,2,6.24,50,134,25.11774,11.45578,255,16,60,2.86,Sniff,55,,,,9.46,,29,,,,,,,,,,,,
Wet,Cabral,464,3/28/2022 21:43,22,3,28,21,43,97,4.5,27.8,1,70.1,1,2236,9,28.4,5,2,6.27,50,134,24.08833,11.22606,255,16,61,2.52,Sniff,52.8,,,,8.8,,29,,,,,,,,,,,,
Wet,Cabral,465,3/28/2022 21:48,22,3,28,21,48,74,4.5,21.6,0,75.7,0,2218,8,28.4,5,2,6.27,50,134,14.27456,9.141263,255,16,62,3.5,Sniff,31.9,,,,5.28,,29,,,,,,,,,,,,
Wet,Cabral,466,3/28/2022 21:53,22,3,28,21,53,83,4.5,16.9,0,81.9,0,2218,9,28.4,5,2,6.27,50,134,12.49024,8.694964,255,16,63,4.85,Sniff,27.94,,,,4.84,,28.8,,,,,,,,,,,,
