Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],% Counts (A),% Counts (B),% Counts (C),% Counts (D),High Voltage,HV Duty Cycle,Air Temperature [Celsius],Relative Humidity [%],Leakage Current,Battery Voltage,Pump Current [mA],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Calculated Radon 2-Sigma Uncert. [Dpm/L],Calculated Thoron [Dpm/L],Calculated Thoron 2-Sigma Uncert. [Dpm/L],Radon In Water [Dpm/L],Thoron In Water [Dpm/L],Water Temperature [Celsius],Meaningful Thoron Threshold (Air) [Dpm/L],Meaningful Thoron Threshold (Water) [Dpm/L],Total Counts (A),Total Counts (B),Total Counts (C),Total Counts (D),Total Counts (Other),Avg. CPM (A),Avg. CPM (B),Avg. CPM (C),Avg. CPM (D),Avg. CPM (Other)
113,8/9/2021 14:50,21,8,9,14,50,96,4.6,35.4,2.1,57.3,1.1,2218,9,32.6,6,2,6.24,50,134,30.00552,12.20709,255,3,94,1.62,Sniff,69,29,10,20,10.1,8,35,5.34,7.78,34,2,55,1,4,7.39,0.438,12,0.23,0.856
114,8/9/2021 14:55,21,8,9,14,55,121,4.6,38.9,2.5,54.6,0.8,2218,9,32.6,6,2,6.27,50,134,41.47822,13.99352,255,3,95,1.4,Sniff,96,33,9,23,14,13,35,5.85,8.52,47,3,66,1,4,10.2,0.658,14.4,0.21,0.842
115,8/9/2021 15:00,21,8,9,15,0,114,4.6,31.6,1.8,66.7,0,2218,9,32,6,2,6.27,50,134,31.77055,12.50129,255,3,96,2.11,Sniff,74,29,0,20,10.8,6,35,6.25,9.11,36,2,76,0,0,7.83,0.446,16.5,0,0
116,8/9/2021 15:05,21,8,9,15,5,104,4.6,51,1,47.1,0,2218,8,32,6,2,6.27,50,134,46.7733,14.7353,255,3,97,0.924,Sniff,110,35,2,17,16,2,35,5.02,7.31,53,1,49,0,1,11.5,0.226,10.6,0,0.203
117,8/9/2021 15:10,21,8,9,15,10,130,4.6,30,0,63.9,0.8,2218,9,32,6,2,6.27,50,134,34.41809,12.92806,255,3,98,2.13,Sniff,80,30,0,17,11.6,0,35,6.22,9.07,39,0,83,1,7,8.48,0,18.1,0.226,1.5
118,8/9/2021 15:15,21,8,9,15,15,120,4.6,45,0.8,48.3,0,2218,9,32.3,6,2,6.27,50,134,47.65582,14.85485,255,3,99,1.07,Sniff,112,35,1,17,16.3,1,35,5.47,7.97,54,1,58,0,7,11.7,0.209,12.6,0,1.54
119,8/9/2021 15:20,21,8,9,15,20,109,4.6,52.3,1.8,42.2,0,2218,9,32.6,6,2,6.27,50,134,50.30336,15.2071,255,4,1,0.807,Sniff,118,36,10,20,17.2,8,35,4.88,7.11,57,2,46,0,4,12.4,0.427,10,0,0.877
120,8/9/2021 15:25,21,8,9,15,25,117,4.6,47.9,0,51.3,0,2218,9,32.6,6,2,6.27,50,134,49.42085,15.09072,255,4,2,1.07,Sniff,116,35,0,17,16.9,0,35,5.29,7.71,56,0,60,0,1,12.2,0,13,0,0.203
121,8/9/2021 15:30,21,8,9,15,30,113,4.6,42.5,1.8,52.2,0,2218,8,32.6,6,2,6.27,50,134,42.36072,14.12024,255,4,3,1.23,Sniff,100,33,10,20,14.5,8,35,5.53,8.06,48,2,59,0,4,10.4,0.442,12.8,0,0.86
122,8/9/2021 15:35,21,8,9,15,35,119,4.6,45.4,0.9,47.9,0.9,2218,9,32.6,6,2,6.27,50,134,46.7733,14.85485,255,4,4,1.06,Sniff,111,35,1,17,16.1,2,35,5.43,7.92,54,1,57,1,6,11.7,0.233,12.4,0.233,1.27
123,8/9/2021 15:40,21,8,9,15,40,133,4.6,45.1,0,51.9,0,2218,9,32.6,6,2,6.27,50,134,52.95092,15.55036,255,4,5,1.15,Sniff,124,37,0,17,18.1,0,35,5.68,8.27,60,0,69,0,4,13,0,15,0,0.867
124,8/9/2021 15:45,21,8,9,15,45,119,4.6,49.6,0.9,48.8,0,2218,9,33.5,6,2,6.24,50,134,52.06839,15.4369,255,4,6,0.984,Sniff,123,37,1,17,17.9,2,35,5.51,8.03,59,1,58,0,1,12.8,0.233,12.6,0,0.181
125,8/9/2021 15:50,21,8,9,15,50,113,4.6,52.2,2.7,42.5,0,2218,9,33.9,6,2,6.27,50,134,52.06839,15.4369,255,4,7,0.814,Sniff,123,37,10,23,18,15,35,5.03,7.33,59,3,48,0,3,12.8,0.663,10.4,0,0.639
126,8/9/2021 15:55,21,8,9,15,55,98,4.6,54.1,0,42.9,0,2218,9,32.9,6,2,6.27,50,134,46.7733,14.7353,255,4,8,0.793,Sniff,110,35,0,17,16.1,0,35,4.43,6.45,53,0,42,0,3,11.5,0,9.14,0,0.639
127,8/9/2021 16:00,21,8,9,16,0,148,4.6,55.4,0.7,40.6,0,2201,9,32,6,2,6.27,50,134,72.36625,17.84522,255,4,9,0.733,Sniff,169,42,1,17,24.7,1,35,5.55,8.09,82,1,60,0,5,17.8,0.225,13.1,0,1.06
128,8/9/2021 16:05,21,8,9,16,5,148,4.6,48,1.4,46.6,0,2218,9,31.1,6,2,6.24,50,134,62.65857,16.74181,255,4,10,0.971,Sniff,146,39,0,20,21.3,7,35,5.93,8.64,71,2,69,0,6,15.4,0.45,15,0,1.29
129,8/9/2021 16:10,21,8,9,16,10,142,4.6,52.8,0,42.3,0,2218,9,29.9,6,2,6.24,50,134,66.18863,17.15221,255,4,11,0.801,Sniff,150,40,0,16,22.4,0,35,5.29,7.71,75,0,60,0,7,16.3,0,13.1,0,1.51
130,8/9/2021 16:15,21,8,9,16,15,190,4.6,51.1,0,43.2,0.5,2218,8,29.3,6,2,6.24,50,134,85.60397,19.23794,255,4,12,0.845,Sniff,197,45,0,16,28.7,0,35,6.19,9.02,97,0,82,1,10,21.1,0,17.8,0.207,2.15
131,8/9/2021 16:20,21,8,9,16,20,163,4.6,66.9,2.5,29.5,0,2218,9,28.7,6,2,6.24,50,134,96.19414,20.27683,255,4,13,0.441,Sniff,222,47,14,25,32.3,20,35,4.9,7.13,109,4,48,0,2,23.7,0.886,10.5,0,0.39
132,8/9/2021 16:25,21,8,9,16,25,160,4.6,58.8,0.6,32.5,1.9,2236,9,28.1,6,2,6.24,50,134,82.07391,19.05872,255,4,14,0.553,Sniff,188,44,1,16,27.3,2,35,5.08,7.4,94,1,52,3,10,20.5,0.209,11.3,0.661,2.16
133,8/9/2021 16:30,21,8,9,16,30,155,4.6,58.1,0,38.1,0,2218,9,27.8,6,2,6.24,50,134,79.42637,18.60234,255,4,15,0.656,Sniff,183,43,0,16,26.6,0,35,5.25,7.65,90,0,59,0,6,19.6,0,12.8,0,1.28
134,8/9/2021 16:35,21,8,9,16,35,158,4.6,55.1,1.3,39.9,0,2218,9,27.5,6,2,6.24,50,134,76.77882,18.32248,255,4,16,0.724,Sniff,176,42,0,20,25.7,7,35,5.58,8.13,87,2,63,0,6,18.9,0.447,13.7,0,1.27
135,8/9/2021 16:40,21,8,9,16,40,167,4.6,55.1,1.2,40.7,0,2218,9,27.1,6,2,6.24,50,134,81.1914,18.78636,255,4,17,0.739,Sniff,186,43,0,20,27.1,7,35,5.78,8.43,92,2,68,0,5,20,0.436,14.8,0,1.09
136,8/9/2021 16:45,21,8,9,16,45,171,4.6,49.7,1.2,43.3,0.6,2218,8,27.1,6,2,6.27,50,134,75.01379,18.13325,255,4,18,0.871,Sniff,171,42,0,20,24.9,6,35,6.03,8.79,85,2,74,1,9,18.5,0.446,16.1,0.223,1.93
137,8/9/2021 16:50,21,8,9,16,50,162,4.6,59.3,0.6,36.4,0,2218,9,26.8,6,2,6.24,50,134,84.72144,19.14856,255,4,19,0.614,Sniff,194,44,1,16,28.3,1,35,5.38,7.84,96,1,59,0,6,20.9,0.211,12.8,0,1.3
138,8/9/2021 16:55,21,8,9,16,55,189,4.6,47.6,2.1,47.1,0,2218,9,26.8,6,2,6.24,50,134,79.42637,18.60234,255,4,20,0.989,Sniff,181,43,11,24,26.4,16,35,6.61,9.63,90,4,89,0,6,19.6,0.863,19.4,0,1.31
139,8/9/2021 17:00,21,8,9,17,0,178,4.6,55.6,1.7,40.5,0,2218,9,26.5,6,2,6.24,50,134,87.36899,19.41533,255,4,21,0.728,Sniff,199,44,8,22,29.1,12,35,5.93,8.65,99,3,72,0,4,21.5,0.658,15.7,0,0.851
140,8/9/2021 17:06,21,8,9,17,6,183,4.6,47,1.1,48.6,0.6,2218,9,26.5,6,2,6.21,50,134,75.8963,18.22813,255,4,22,1.03,Sniff,172,42,0,20,25.1,5,35,6.6,9.62,86,2,89,1,5,18.7,0.438,19.3,0.239,1.07
141,8/9/2021 17:11,21,8,9,17,11,195,4.6,50.8,1,47.7,0,2218,8,26.2,6,2,6.21,50,134,87.36899,19.41533,255,4,23,0.939,Sniff,199,44,0,20,29.1,4,35,6.74,9.82,99,2,93,0,1,21.5,0.424,20.2,0,0.212
142,8/9/2021 17:16,21,8,9,17,16,192,4.6,55.2,2.1,40.1,0.5,2201,9,26.2,6,2,6.24,50,134,93.5466,20.02265,255,4,24,0.726,Sniff,212,46,12,24,30.9,18,35,6.13,8.93,106,4,77,1,4,23,0.877,16.7,0.209,0.877
143,8/9/2021 17:21,21,8,9,17,21,206,4.6,44.7,0.5,52,0,2218,9,26.2,6,2,6.21,50,134,81.63267,18.88847,255,4,25,1.16,Sniff,185,43,0,16,27,0,35,7.07,10.3,92,1,107,0,6,20,0.224,23.3,0,1.25
144,8/9/2021 17:26,21,8,9,17,26,208,4.6,49.5,1.5,44.7,0.5,2218,9,25.9,6,2,6.21,50,134,91.39308,19.8723,255,4,26,0.903,Sniff,206,45,8,22,30,11,35,6.73,9.8,103,3,93,1,8,22.4,0.678,20.2,0.226,1.72
145,8/9/2021 17:31,21,8,9,17,31,187,4.6,54.6,3.2,39.6,0,2218,9,25.6,6,2,6.21,50,134,90.01653,19.67813,255,4,27,0.725,Sniff,205,45,20,28,29.8,29,35,5.99,8.73,102,6,74,0,5,22.2,1.3,16.1,0,1.06
146,8/9/2021 17:35,21,8,9,17,35,166,3.8,51.2,0.6,45.8,0,2218,9,25.9,6,2,6.21,50,134,90.11398,21.78345,255,4,28,0.895,Sniff,210,50,0,20,30.1,0,35,7.21,10.5,85,1,76,0,4,22.4,0.262,20,0,1.05
